Origin,Protect
"potassium phosphate,monobasic",potassium phosphate#monobasic
"k,na tartrate",k#na tartrate
"k,na-tartrate",k#na-tartrate
"na,k tartrate",na#k tartrate
"na,k-tartrate",na#k-tartrate
"1,4-butanediamine, n-(3-aminopropyl)-",^1#4-butanediamine#n-(3-aminopropyl)-
"1,4-diaminobutane, n-(3-aminopropyl)-",^1#4-diaminobutane#n-(3-aminopropyl)-
"1,5,10-triazadecane",^1#5#10-triazadecane
"1,8-diamino-4-azaoctane",^1#8-diamino-4-azaoctane
"4-azaoctane-1,8-diamine",^4-azaoctane-1#8-diamine
"n-(3-aminopropyl)-1,4-butane-diamine",n-(3-aminopropyl)-1#4-butane-diamine
"n-(3-aminopropyl)-1,4-butanediamine",n-(3-aminopropyl)-1#4-butanediamine
"n-(3-aminopropyl)-1,4-diaminobutane",n-(3-aminopropyl)-1#4-diaminobutane
"n-(3-aminopropyl)butane-1,4-diamine",n-(3-aminopropyl)butane-1#4-diamine
"n-(4-aminobutyl)-1,3-diaminopropane",n-(4-aminobutyl)-1#3-diaminopropane
"n1-(3-aminopropyl)butane-1,4-diamine",n1-(3-aminopropyl)butane-1#4-diamine
"1,1-dimethylethanol",^1#1-dimethylethanol
"methanamine, n,n-dimethyl-",methanamine#n#n-dimethyl-
"n,n,n-trimethylamine",n#n#n-trimethylamine
"n,n-dimethylmethanamine",n#n-dimethylmethanamine
"n,n-dimethylmethanamine n-oxide",n#n-dimethylmethanamine n-oxide
"n,n-dimethylmethanamine oxide",n#n-dimethylmethanamine oxide
"2-amino-2-(hydroxymethyl)-1,3-propanediol",^2-amino-2-(hydroxymethyl)-1#3-propanediol
"2-amino-2-(hydroxymethyl)propane-1,3-diol",^2-amino-2-(hydroxymethyl)propane-1#3-diol
